brand,avg_rating,review_count,rating_std,verified_ratio,avg_helpful_votes,avg_sentiment_score,positive_ratio,avg_text_length,first_review_date,last_review_date,brand_age_days,norm_rating,norm_helpful,brand_reputation_score,brs_category
7th Element,4.410714285714286,56,0.968162002114141,0.9821428571428571,0.4107142857142857,0.6370964285714286,0.9107142857142857,149.26785714285714,2017-05-16 20:36:20.000,2022-10-03 20:32:45.978,1965,0.8526785714285714,0.04107142857142857,69.67,Good (60-70)
90 Degree By Reflex,4.298642533936651,663,1.1626545170873164,0.9562594268476622,2.1689291101055805,0.6729764705882353,0.8974358974358975,212.2714932126697,2015-01-06 23:19:09.000,2023-03-14 02:28:00.549,2988,0.8246606334841629,0.21689291101055805,72.38,Very Good (70-80)
A AGROSTE,4.035087719298246,57,1.2672370434574491,0.9298245614035088,0.8596491228070176,0.5995456140350878,0.8596491228070176,159.17543859649123,2019-08-09 00:56:31.707,2023-03-08 13:39:41.910,1307,0.7587719298245614,0.08596491228070176,65.86,Good (60-70)
A2Y,4.164179104477612,67,1.366226997925232,0.9850746268656716,0.8059701492537313,0.48535074626865676,0.7910447761194029,145.13432835820896,2018-10-23 18:56:52.684,2023-02-28 17:09:03.270,1588,0.791044776119403,0.08059701492537313,66.19,Good (60-70)
A4,4.1735537190082646,121,1.1667453731814068,0.9669421487603306,1.4793388429752066,0.536590909090909,0.8264462809917356,144.61157024793388,2013-05-21 13:46:47.000,2023-01-15 21:49:01.622,3526,0.7933884297520661,0.14793388429752066,68.37,Good (60-70)
ACEVOG,3.917197452229299,157,1.3819429996756167,0.9235668789808917,3.305732484076433,0.5430681528662421,0.821656050955414,186.35668789808918,2016-11-14 09:41:48.000,2022-12-20 00:47:48.566,2226,0.7292993630573248,0.3305732484076433,70.13,Very Good (70-80)
ACTINPUT,4.366412213740458,131,1.0827749739245773,0.9847328244274809,0.5190839694656488,0.4957541984732824,0.816793893129771,159.46564885496184,2017-11-17 17:13:26.662,2023-03-04 03:04:04.974,1932,0.8416030534351144,0.051908396946564885,67.38,Good (60-70)
ACdream,4.633333333333334,60,0.822700527647874,1.0,0.31666666666666665,0.5501433333333333,0.85,92.66666666666667,2017-03-15 07:13:31.000,2022-12-17 07:44:28.516,2103,0.9083333333333334,0.03166666666666666,69.75,Good (60-70)
AELSON,3.246376811594203,69,1.4184270192245196,0.9855072463768116,0.37681159420289856,0.3445,0.6231884057971014,114.42028985507247,2016-06-07 18:24:43.000,2022-11-05 03:07:15.466,2341,0.5615942028985508,0.03768115942028986,55.2,Fair (50-60)
AEROTHOTIC,4.135416666666667,288,1.3035982766554095,0.8576388888888888,0.5416666666666666,0.5432131944444445,0.8159722222222222,177.96527777777777,2018-10-01 18:01:07.244,2023-03-14 03:18:41.999,1624,0.7838541666666667,0.05416666666666666,62.79,Good (60-70)
AERO|TECH|DESIGNS,4.382352941176471,68,0.9308864618827547,0.9411764705882353,1.3823529411764706,0.5223529411764707,0.8088235294117647,161.97058823529412,2007-06-19 06:19:14.000,2021-02-19 19:42:44.688,4994,0.8455882352941178,0.13823529411764707,68.35,Good (60-70)
AFITNE,4.397260273972603,73,1.114796020547123,0.9863013698630136,0.4520547945205479,0.6167986301369863,0.8082191780821918,207.24657534246575,2019-12-24 22:37:14.532,2023-03-13 03:54:57.017,1174,0.8493150684931507,0.04520547945205479,67.23,Good (60-70)
AIIT,4.066666666666666,60,0.9719222028339417,0.0,1.1833333333333333,0.7911233333333333,0.9166666666666666,528.7166666666667,2019-05-14 12:22:04.053,2020-02-18 01:57:03.755,279,0.7666666666666666,0.11833333333333333,45.04,Poor (<50)
AINIMOER,4.614678899082569,109,0.8596754004202201,0.9724770642201835,0.8807339449541285,0.6568926605504587,0.8623853211009175,196.78899082568807,2016-05-15 14:09:25.000,2023-02-28 16:10:08.916,2480,0.9036697247706422,0.08807339449541285,70.67,Very Good (70-80)
AKAMC,3.9690721649484537,194,1.2546585378415553,0.9690721649484536,1.2061855670103092,0.5927293814432989,0.8402061855670103,195.88144329896906,2016-08-16 16:03:17.000,2023-03-02 09:25:00.956,2388,0.7422680412371134,0.12061855670103092,66.8,Good (60-70)
AKARMY,3.8620689655172415,87,1.3991061415019421,0.9195402298850575,0.8620689655172413,0.4399620689655172,0.7241379310344828,169.51724137931035,2017-04-19 19:57:12.000,2023-01-15 20:30:29.581,2097,0.7155172413793104,0.08620689655172413,61.14,Good (60-70)
ALARION,3.78,50,1.3138197931906763,0.98,0.14,0.506846,0.8,109.38,2017-08-16 23:17:10.864,2023-03-14 21:49:32.073,2035,0.695,0.014000000000000002,62.22,Good (60-70)
ALDO,4.095238095238095,63,1.2009980488593874,0.6984126984126984,0.8253968253968254,0.5956174603174603,0.8095238095238095,218.20634920634922,2014-12-16 02:58:57.000,2023-03-03 14:46:27.606,2999,0.7738095238095237,0.08253968253968254,59.11,Fair (50-60)
ALEADER,4.267034990791897,543,1.1843692377773547,0.9650092081031307,2.460405156537753,0.5737473296500921,0.850828729281768,172.96500920810314,2015-02-25 00:20:28.000,2023-03-12 17:24:40.123,2937,0.8167587476979743,0.24604051565377533,71.97,Very Good (70-80)
ALLEGRACE,4.193784277879342,547,1.2235920117646215,0.9542961608775137,1.1974405850091407,0.6150714808043876,0.8555758683729433,171.90493601462524,2016-08-30 20:36:47.000,2023-02-28 21:03:43.710,2373,0.7984460694698354,0.11974405850091407,68.2,Good (60-70)
ALLTB,4.377358490566038,53,0.9451580066182588,0.9245283018867925,0.6226415094339622,0.7096792452830188,0.9433962264150944,140.22641509433961,2019-10-12 18:43:23.729,2023-02-23 19:57:32.261,1230,0.8443396226415094,0.062264150943396226,69.36,Good (60-70)
ALTRA,4.126315789473685,285,1.2123958232855458,0.9508771929824561,1.0,0.5535838596491228,0.856140350877193,359.43859649122805,2013-07-31 23:30:32.000,2023-03-18 15:32:27.123,3516,0.7815789473684212,0.1,67.21,Good (60-70)
ALVISH,4.607142857142857,84,0.8783590552549477,0.9880952380952381,1.9642857142857142,0.6507130952380953,0.9047619047619048,128.51190476190476,2016-05-08 21:55:51.000,2022-08-28 13:47:58.930,2302,0.9017857142857142,0.19642857142857142,74.78,Very Good (70-80)
ALWAYS,4.369458128078818,203,1.119783042092027,0.9556650246305419,0.5714285714285714,0.6253768472906404,0.8669950738916257,193.94581280788177,2018-06-16 02:38:32.688,2023-03-09 22:05:38.714,1727,0.8423645320197044,0.05714285714285714,68.05,Good (60-70)
ALYSSA,4.311475409836065,183,1.102559214824401,0.9672131147540983,1.8032786885245902,0.5639289617486338,0.8360655737704918,183.19672131147541,2016-09-01 18:25:31.000,2023-02-25 12:55:24.548,2367,0.8278688524590163,0.18032786885245902,70.29,Very Good (70-80)
AMCLOS,4.085714285714285,70,1.3159319962040366,0.9,0.45714285714285713,0.5949428571428571,0.8571428571428571,161.72857142857143,2018-12-19 03:54:49.832,2023-01-03 03:16:18.006,1475,0.7714285714285714,0.045714285714285714,64.36,Good (60-70)
AMERICAN TOURISTER,4.730337078651686,89,0.7502127719978122,0.8651685393258427,1.8202247191011236,0.6692213483146067,0.898876404494382,259.3820224719101,2013-03-02 16:52:24.000,2023-02-28 06:37:12.611,3649,0.9325842696629214,0.18202247191011237,71.97,Very Good (70-80)
AMORE ALLFY,4.138297872340425,188,1.184580648105948,0.973404255319149,0.425531914893617,0.625515425531915,0.8457446808510638,145.60638297872342,2016-08-26 04:34:26.000,2021-07-01 15:32:57.179,1770,0.7845744680851063,0.0425531914893617,66.16,Good (60-70)
AMOURRI,4.235294117647059,51,1.209764196760966,0.9803921568627451,0.45098039215686275,0.7009176470588235,0.8627450980392157,269.7647058823529,2016-08-28 14:36:03.000,2022-09-01 21:02:28.828,2195,0.8088235294117647,0.045098039215686274,67.43,Good (60-70)
AMZ PLUS,4.202898550724638,69,1.1190819523284614,0.9710144927536232,1.710144927536232,0.6694811594202899,0.9420289855072463,245.2173913043478,2017-06-27 19:21:05.433,2023-03-12 03:10:49.386,2083,0.8007246376811594,0.17101449275362318,72.12,Very Good (70-80)
AMiERY,4.038095238095238,210,1.3619842654053185,0.9714285714285714,1.0333333333333334,0.5684304761904762,0.8047619047619048,183.84761904761905,2016-11-03 05:03:51.000,2023-03-09 01:55:10.304,2316,0.7595238095238095,0.10333333333333335,65.98,Good (60-70)
ANDOILT,4.426229508196721,61,1.0871831552754825,0.7540983606557377,0.45901639344262296,0.6656245901639344,0.8852459016393442,282.95081967213116,2018-01-22 17:46:20.658,2023-03-08 00:58:56.229,1870,0.8565573770491803,0.04590163934426229,63.55,Good (60-70)
ANIXAY,3.983050847457627,59,1.2797026247198162,0.9830508474576272,1.1355932203389831,0.6099898305084747,0.864406779661017,168.89830508474577,2019-01-18 23:22:48.512,2023-01-12 23:55:46.745,1455,0.7457627118644068,0.11355932203389832,67.67,Good (60-70)
ANLUKE,4.181034482758621,116,1.2201150190331091,0.9051724137931034,0.3706896551724138,0.503369827586207,0.7672413793103449,163.6551724137931,2018-02-12 16:05:28.037,2023-02-28 11:34:47.424,1841,0.7952586206896552,0.037068965517241384,62.62,Good (60-70)
ANNA,4.022471910112359,89,1.2520667286338985,0.9775280898876404,2.303370786516854,0.5431280898876405,0.797752808988764,146.57303370786516,2015-06-01 22:31:19.000,2022-09-18 20:07:40.624,2665,0.7556179775280898,0.2303370786516854,69.03,Good (60-70)
ANNYISON,4.416666666666667,60,1.1393079473391101,1.0,0.6166666666666667,0.6204983333333334,0.85,187.71666666666667,2018-12-21 15:48:56.849,2022-12-15 02:39:52.415,1454,0.8541666666666667,0.06166666666666667,69.15,Good (60-70)
ANRABESS,4.156462585034014,441,1.2650943924831826,0.8299319727891157,1.8526077097505669,0.6474215419501134,0.8843537414965986,220.04988662131518,2018-08-30 05:57:52.949,2023-03-19 13:38:05.602,1662,0.7891156462585034,0.1852607709750567,67.22,Good (60-70)
ANZERMIX,4.303030303030303,99,1.249118427536449,0.9696969696969697,2.787878787878788,0.5526757575757576,0.8080808080808081,141.63636363636363,2016-10-19 16:49:25.000,2022-12-07 02:02:48.449,2239,0.8257575757575757,0.2787878787878788,72.06,Very Good (70-80)
AOMIDI,4.524271844660194,103,1.0741586784793233,0.9902912621359223,5.932038834951456,0.4574097087378641,0.7669902912621359,100.12621359223301,2016-08-08 18:18:27.000,2023-01-17 03:44:57.451,2352,0.8810679611650485,0.5932038834951456,80.79,Excellent (80-90)
AOYOG,3.6885245901639343,61,1.5115222305847549,0.9672131147540983,0.39344262295081966,0.35134754098360654,0.639344262295082,134.47540983606558,2017-05-12 16:35:56.000,2023-03-06 14:02:36.290,2123,0.6721311475409836,0.039344262295081964,57.95,Fair (50-60)
APHISON,4.796610169491525,59,0.7376491320158682,0.9830508474576272,3.440677966101695,0.7369423728813559,0.9152542372881356,231.10169491525423,2017-01-12 16:22:47.000,2023-03-15 14:16:16.162,2252,0.9491525423728813,0.3440677966101695,79.79,Very Good (70-80)
APRILSPRING,4.235294117647059,51,1.3051932469043448,0.8235294117647058,0.6274509803921569,0.6061313725490196,0.8235294117647058,220.47058823529412,2020-10-12 22:11:17.909,2023-02-25 20:42:56.129,865,0.8088235294117647,0.06274509803921569,62.97,Good (60-70)
APTRO,4.166666666666667,72,1.3000541700523185,0.9722222222222222,1.6666666666666667,0.49271249999999994,0.7638888888888888,145.38888888888889,2016-04-05 06:14:28.000,2023-03-17 05:33:44.246,2536,0.7916666666666667,0.16666666666666669,67.36,Good (60-70)
ARIAT,4.41215323645971,757,1.0858689436257547,0.9616908850726552,0.8005284015852048,0.6084073976221929,0.8586525759577279,214.51254953764862,2009-03-21 14:28:37.000,2023-03-17 02:01:30.106,5108,0.8530383091149274,0.08005284015852047,68.84,Good (60-70)
ARSUXEO,4.219047619047619,105,1.1349428347257131,0.9714285714285714,1.1904761904761905,0.5613380952380952,0.819047619047619,205.0952380952381,2015-05-02 22:35:26.000,2023-02-21 04:53:04.827,2851,0.8047619047619048,0.11904761904761904,67.86,Good (60-70)
ASICS,4.377030493017954,3509,1.089782108939676,0.9720718153320034,0.7101738387004844,0.5679587916785409,0.8364206326588772,177.8939868908521,2010-02-19 04:19:35.000,2023-03-19 03:46:17.765,4775,0.8442576232544885,0.07101738387004844,68.09,Good (60-70)
ASIMOON,4.016666666666667,120,1.408159495677285,0.9333333333333333,5.258333333333334,0.5110750000000001,0.7416666666666667,229.78333333333333,2018-12-27 14:04:04.643,2023-03-14 13:44:16.514,1537,0.7541666666666667,0.5258333333333334,73.88,Very Good (70-80)
ATG by Wrangler,4.694117647058824,85,0.6176670665026724,0.2823529411764706,0.6235294117647059,0.8327952941176471,0.9411764705882353,438.16470588235296,2019-10-30 00:48:04.090,2023-02-09 06:59:15.552,1198,0.9235294117647059,0.06235294117647059,55.24,Fair (50-60)
ATHLIO,4.566666666666666,60,0.9088392050109699,1.0,1.0833333333333333,0.5212216666666667,0.7833333333333333,170.65,2019-01-12 22:13:25.961,2023-01-13 07:25:53.598,1461,0.8916666666666666,0.10833333333333332,69.58,Good (60-70)
ATTRACO,4.298578199052133,211,1.095857075881956,0.919431279620853,1.0758293838862558,0.5651824644549763,0.8009478672985783,173.44549763033174,2017-09-27 17:35:27.488,2023-03-10 18:02:13.552,1990,0.8246445497630333,0.10758293838862558,66.32,Good (60-70)
AUSELILY,4.297752808988764,534,1.1342007983496956,0.9044943820224719,0.9307116104868914,0.6079833333333333,0.8558052434456929,168.56741573033707,2017-04-10 15:05:26.000,2023-03-14 18:54:57.490,2164,0.824438202247191,0.09307116104868915,66.95,Good (60-70)
AUTOMET,3.9421487603305785,121,1.3680735887928752,0.7851239669421488,1.677685950413223,0.6086165289256198,0.8512396694214877,205.9090909090909,2021-01-09 03:14:47.000,2023-03-13 12:33:16.303,793,0.7355371900826446,0.1677685950413223,63.49,Good (60-70)
AVIIER,4.6231884057971016,69,0.7495380788380958,0.9420289855072463,2.652173913043478,0.6458594202898551,0.855072463768116,152.59420289855072,2018-11-02 15:00:59.302,2023-03-17 18:58:52.064,1596,0.9057971014492754,0.2652173913043478,74.2,Very Good (70-80)
AWAYTR,4.433962264150943,53,1.0471469289723927,0.9622641509433962,0.9056603773584906,0.5029584905660377,0.8113207547169812,128.67924528301887,2016-11-03 23:51:19.000,2023-02-22 19:55:46.813,2301,0.8584905660377358,0.09056603773584906,68.07,Good (60-70)
AWULIFFAN,4.458333333333333,144,1.023329271155085,0.9583333333333334,1.6319444444444444,0.6750277777777778,0.9305555555555556,145.0625,2019-04-23 21:08:44.894,2023-03-09 19:50:29.992,1415,0.8645833333333333,0.16319444444444445,72.92,Very Good (70-80)
AXESEA,4.5344827586206895,58,0.7994629171124014,1.0,1.0,0.6857741379310345,0.896551724137931,237.72413793103448,2017-08-30 04:36:34.238,2023-02-20 20:46:15.162,2000,0.8836206896551724,0.1,72.0,Very Good (70-80)
Abaowedding,4.015151515151516,66,1.3300367171614733,0.9848484848484849,2.121212121212121,0.5239893939393939,0.803030303030303,215.12121212121212,2016-12-01 18:09:21.000,2023-02-12 01:39:36.683,2263,0.7537878787878789,0.2121212121212121,68.84,Good (60-70)
Ablanczoom,4.117647058823529,68,1.2640778807093662,0.8970588235294118,1.1764705882352942,0.601835294117647,0.8676470588235294,164.0,2018-03-17 13:58:29.393,2022-10-12 15:54:28.001,1670,0.7794117647058822,0.11764705882352941,66.54,Good (60-70)
Access Denied,4.5636363636363635,110,0.8729079601667268,0.8818181818181818,0.24545454545454545,0.5655081818181819,0.8545454545454545,169.05454545454546,2013-12-31 11:48:49.000,2023-03-09 18:42:20.315,3355,0.8909090909090909,0.024545454545454544,66.3,Good (60-70)
Accutime,4.1571428571428575,140,1.3425597186531595,0.9642857142857143,0.4642857142857143,0.46112571428571425,0.7785714285714286,111.29285714285714,2013-03-31 18:18:13.000,2022-08-24 15:45:33.470,3432,0.7892857142857144,0.04642857142857143,64.46,Good (60-70)
Acelitt,3.91025641025641,156,1.3410241385900645,0.9615384615384616,2.3525641025641026,0.545776282051282,0.8333333333333334,166.35256410256412,2018-11-16 00:47:59.353,2023-01-22 00:14:31.395,1527,0.7275641025641025,0.23525641025641025,68.94,Good (60-70)
Achillea,4.680412371134021,97,0.9633534284875381,0.9690721649484536,1.1134020618556701,0.6656134020618556,0.9072164948453608,130.4020618556701,2017-01-05 12:35:51.000,2023-01-27 01:13:49.426,2212,0.9201030927835052,0.11134020618556702,72.69,Very Good (70-80)
Achiou,3.834254143646409,181,1.3764439374089874,0.9779005524861878,1.0773480662983426,0.5390977900552486,0.8121546961325967,192.939226519337,2018-02-06 20:08:21.851,2023-03-06 18:14:11.184,1853,0.7085635359116023,0.10773480662983426,65.16,Good (60-70)
Acorn,4.181058495821727,718,1.229837328395123,0.8969359331476323,1.4122562674094707,0.586816155988858,0.8440111420612814,247.33704735376045,2007-12-06 22:32:55.000,2023-03-18 19:45:17.214,5580,0.7952646239554317,0.14122562674094707,66.94,Good (60-70)
Active Club,3.9215686274509802,51,1.45386570569502,0.9607843137254902,0.6862745098039216,0.5417333333333333,0.803921568627451,169.52941176470588,2016-02-15 00:18:08.000,2023-02-01 01:20:40.605,2543,0.7303921568627451,0.06862745098039216,64.09,Good (60-70)
Active Products,3.81,100,1.308055847817707,0.99,0.32,0.500131,0.76,154.2,2013-10-11 12:01:12.000,2022-06-22 17:40:29.815,3176,0.7025,0.032,62.11,Good (60-70)
Actloe,4.146067415730337,89,1.143663986311229,0.39325842696629215,4.078651685393258,0.7291808988764045,0.898876404494382,307.2696629213483,2018-09-25 03:05:21.910,2022-12-23 13:15:28.404,1550,0.7865168539325842,0.40786516853932586,62.16,Good (60-70)
Adar Uniforms,4.220779220779221,385,1.2207342460859767,0.987012987012987,0.7792207792207793,0.5661922077922078,0.8389610389610389,148.26493506493506,2014-05-08 17:22:44.000,2023-03-14 20:47:42.303,3232,0.8051948051948052,0.07792207792207792,67.73,Good (60-70)
Adibosy,4.403225806451613,62,0.9993387554656172,0.9032258064516129,2.161290322580645,0.6493387096774194,0.8548387096774194,148.59677419354838,2019-07-01 22:30:57.219,2023-02-28 20:27:32.652,1337,0.8508064516129032,0.2161290322580645,70.62,Very Good (70-80)
Adisputent,4.287671232876712,73,1.1115486201041336,0.9178082191780822,1.0547945205479452,0.6049493150684931,0.8493150684931506,209.57534246575344,2019-05-19 04:12:07.870,2023-02-28 00:43:47.660,1380,0.821917808219178,0.10547945205479452,67.36,Good (60-70)
Adokoo,4.1571428571428575,70,1.2233917486236423,0.9714285714285714,1.1142857142857143,0.48196285714285714,0.7714285714285715,180.18571428571428,2018-09-14 17:56:07.277,2023-03-08 16:33:58.781,1635,0.7892857142857144,0.11142857142857143,66.09,Good (60-70)
Adreamly,4.354838709677419,93,1.0899258180812381,0.956989247311828,0.3118279569892473,0.6253247311827957,0.8387096774193549,141.33333333333334,2017-11-15 23:39:30.071,2022-12-11 02:31:38.377,1851,0.8387096774193548,0.03118279569892473,66.64,Good (60-70)
Aerosoles,4.2,390,1.0902701252512716,0.9384615384615385,0.9358974358974359,0.59794,0.8487179487179487,186.1051282051282,2010-11-17 19:21:52.000,2022-10-27 01:20:22.304,4361,0.8,0.09358974358974359,67.02,Good (60-70)
Aeuui,4.415094339622642,53,1.1339848436131175,0.8490566037735849,0.3584905660377358,0.6578849056603774,0.9056603773584906,134.73584905660377,2019-10-10 18:24:11.417,2023-02-20 19:21:47.181,1229,0.8537735849056605,0.035849056603773584,66.11,Good (60-70)
Afibi,3.9681978798586575,283,1.356248712675439,0.9752650176678446,2.137809187279152,0.5213300353356891,0.7985865724381626,150.32155477031802,2016-05-31 19:51:34.000,2023-02-28 19:56:58.183,2464,0.7420494699646644,0.21378091872791521,68.24,Good (60-70)
Agan Traders,4.473118279569892,93,0.8918885416017441,0.978494623655914,1.5806451612903225,0.7025774193548386,0.946236559139785,187.69892473118279,2014-01-01 18:59:02.000,2022-09-18 16:59:39.473,3181,0.868279569892473,0.15806451612903225,73.78,Very Good (70-80)
Aifer,4.294117647058823,51,1.1540211028756593,0.8627450980392157,1.2352941176470589,0.655749019607843,0.9019607843137255,150.05882352941177,2006-11-10 02:20:25.000,2023-03-01 18:51:30.229,5955,0.8235294117647058,0.12352941176470589,67.79,Good (60-70)
Air Curvey,4.416666666666667,72,1.071395036363181,0.6944444444444444,0.5,0.670825,0.8888888888888888,257.25,2019-05-19 14:26:22.798,2023-01-18 15:58:04.843,1340,0.8541666666666667,0.05,62.19,Good (60-70)
Akk,4.302197802197802,182,1.1379421206943667,0.8791208791208791,2.4835164835164836,0.6097675824175824,0.8626373626373627,194.28021978021977,2019-10-19 18:31:24.718,2023-03-13 18:37:00.693,1241,0.8255494505494505,0.24835164835164836,70.39,Very Good (70-80)
Alaroo,4.0701754385964914,57,1.237215322563524,0.8596491228070176,0.22807017543859648,0.5249508771929825,0.7719298245614035,196.3684210526316,2016-10-07 21:40:47.000,2022-12-09 01:14:34.512,2253,0.7675438596491229,0.022807017543859647,60.55,Good (60-70)
Alaster Queen,3.772727272727273,88,1.43620887226228,0.8977272727272727,0.7159090909090909,0.45435909090909093,0.7840909090909091,188.0909090909091,2019-04-28 19:44:52.990,2023-03-17 15:48:48.247,1418,0.6931818181818182,0.0715909090909091,61.16,Good (60-70)
Alegria by PG Lite,4.267399267399267,273,1.1591703636270319,0.9633699633699634,1.3076923076923077,0.6236688644688644,0.8754578754578755,210.95604395604394,2012-12-17 03:28:59.000,2023-02-09 18:45:19.604,3706,0.8168498168498168,0.13076923076923078,69.66,Good (60-70)
Alelly,3.574074074074074,54,1.408891600365094,0.9444444444444444,0.35185185185185186,0.5867444444444444,0.8888888888888888,191.4814814814815,2017-12-15 01:04:29.905,2023-02-06 04:04:26.615,1879,0.6435185185185185,0.03518518518518519,62.8,Good (60-70)
Alepo,4.37037037037037,81,1.0890872835136363,0.9753086419753086,2.765432098765432,0.5998037037037037,0.8641975308641975,191.2469135802469,2019-11-14 00:57:14.479,2023-03-09 19:44:50.286,1211,0.8425925925925926,0.2765432098765432,73.97,Very Good (70-80)
Aleumdr,4.15,140,1.2803158333370421,0.9,1.292857142857143,0.5999485714285715,0.8571428571428571,178.53571428571428,2016-08-15 12:27:04.000,2023-03-07 12:22:13.184,2394,0.7875000000000001,0.12928571428571428,66.85,Good (60-70)
Alex Evenings,4.333333333333333,87,1.2451456127293807,0.6551724137931034,3.6551724137931036,0.7038218390804598,0.9080459770114943,338.02298850574715,2015-10-23 23:28:48.000,2023-02-27 02:33:13.779,2683,0.8333333333333333,0.36551724137931035,69.05,Good (60-70)
Alex Vando,4.2,100,1.247219128924647,0.92,0.74,0.536278,0.8,143.2,2018-07-15 00:51:56.082,2023-02-28 23:33:41.943,1689,0.8,0.074,64.85,Good (60-70)
Alex and Ani,4.608510638297872,235,0.9562725417116409,0.9361702127659575,0.2723404255319149,0.6072089361702128,0.8723404255319149,108.26808510638298,2012-12-03 04:04:10.000,2022-11-19 04:34:41.134,3638,0.902127659574468,0.02723404255319149,68.45,Good (60-70)
Alexander Del Rossa,4.498181818181818,550,0.970886007218706,0.9509090909090909,1.3545454545454545,0.6282310909090909,0.9018181818181819,191.74545454545455,2011-02-02 22:14:12.000,2023-03-11 03:22:07.141,4419,0.8745454545454545,0.13545454545454544,71.57,Very Good (70-80)
Alfred Dunner,4.088,125,1.257339741599879,0.96,1.16,0.443176,0.752,119.16,2013-10-23 13:33:01.000,2023-03-11 04:23:44.801,3425,0.772,0.11599999999999999,65.0,Good (60-70)
Alicegana,4.125,104,1.2974021840526035,0.9134615384615384,0.6538461538461539,0.5710182692307693,0.8269230769230769,162.0,2017-12-27 23:26:15.262,2023-03-11 00:18:45.226,1899,0.78125,0.06538461538461539,64.68,Good (60-70)
Alimens & Gentle,4.168224299065421,214,1.2999529157844711,0.9626168224299065,0.4392523364485981,0.5106322429906542,0.822429906542056,146.4018691588785,2017-09-27 22:19:19.361,2023-03-02 16:34:33.058,1981,0.7920560747663552,0.04392523364485981,65.53,Good (60-70)
Allegra K,4.222395023328149,643,1.1782012212932116,0.9673405909797823,1.5567651632970452,0.6005648522550544,0.8444790046656299,183.09486780715397,2013-02-26 10:26:52.000,2023-03-10 22:49:37.432,3664,0.8055987558320372,0.15567651632970453,69.33,Good (60-70)
Allen Edmonds,4.436619718309859,71,1.0519695048023996,0.9295774647887324,0.8732394366197183,0.5806732394366197,0.7887323943661971,276.83098591549293,2011-12-04 01:54:00.000,2022-05-04 12:34:19.278,3804,0.8591549295774648,0.08732394366197183,66.62,Good (60-70)
Allsense,4.225806451612903,124,1.2018867936180533,0.9758064516129032,0.8548387096774194,0.5122266129032258,0.7903225806451613,144.6451612903226,2016-04-19 17:49:18.000,2023-02-26 22:19:43.852,2504,0.8064516129032258,0.08548387096774193,66.45,Good (60-70)
