brand,brand_reputation_score,review_count,avg_helpful_votes,avg_rating,BRS_Category
AOYOG,57.95,61,0.3934426229508196,3.6885245901639343,Fair (50-60)
APHISON,79.79,59,3.440677966101695,4.796610169491525,Very Good (70-80)
APRILSPRING,62.97,51,0.6274509803921569,4.235294117647059,Good (60-70)
APTRO,67.36,72,1.6666666666666667,4.166666666666667,Good (60-70)
ARIAT,68.84,757,0.8005284015852048,4.41215323645971,Good (60-70)
ARSUXEO,67.86,105,1.1904761904761905,4.219047619047619,Good (60-70)
ASICS,68.09,3509,0.7101738387004844,4.377030493017954,Good (60-70)
ASIMOON,73.88,120,5.258333333333334,4.016666666666667,Very Good (70-80)
ATG by Wrangler,55.24,85,0.6235294117647059,4.694117647058824,Fair (50-60)
ATHLIO,69.58,60,1.0833333333333333,4.566666666666666,Good (60-70)
ATTRACO,66.32,211,1.0758293838862558,4.298578199052133,Good (60-70)
AUSELILY,66.95,534,0.9307116104868914,4.297752808988764,Good (60-70)
AUTOMET,63.49,121,1.677685950413223,3.9421487603305785,Good (60-70)
AVIIER,74.2,69,2.652173913043478,4.6231884057971016,Very Good (70-80)
AWAYTR,68.07,53,0.9056603773584906,4.433962264150943,Good (60-70)
AWULIFFAN,72.92,144,1.6319444444444444,4.458333333333333,Very Good (70-80)
AXESEA,72.0,58,1.0,4.5344827586206895,Very Good (70-80)
Abaowedding,68.84,66,2.121212121212121,4.015151515151516,Good (60-70)
Ablanczoom,66.54,68,1.1764705882352942,4.117647058823529,Good (60-70)
Access Denied,66.3,110,0.2454545454545454,4.563636363636364,Good (60-70)
Accutime,64.46,140,0.4642857142857143,4.1571428571428575,Good (60-70)
Acelitt,68.94,156,2.352564102564102,3.91025641025641,Good (60-70)
Achillea,72.69,97,1.11340206185567,4.680412371134021,Very Good (70-80)
Achiou,65.16,181,1.0773480662983426,3.834254143646409,Good (60-70)
Acorn,66.94,718,1.4122562674094707,4.181058495821727,Good (60-70)
Active Club,64.09,51,0.6862745098039216,3.92156862745098,Good (60-70)
Active Products,62.11,100,0.32,3.81,Good (60-70)
Actloe,62.16,89,4.078651685393258,4.146067415730337,Good (60-70)
Adar Uniforms,67.73,385,0.7792207792207793,4.220779220779221,Good (60-70)
Adibosy,70.62,62,2.161290322580645,4.403225806451613,Very Good (70-80)
Adisputent,67.36,73,1.0547945205479452,4.287671232876712,Good (60-70)
Adokoo,66.09,70,1.1142857142857143,4.1571428571428575,Good (60-70)
Adreamly,66.64,93,0.3118279569892473,4.354838709677419,Good (60-70)
Aerosoles,67.02,390,0.935897435897436,4.2,Good (60-70)
Aeuui,66.11,53,0.3584905660377358,4.415094339622642,Good (60-70)
Afibi,68.24,283,2.137809187279152,3.9681978798586575,Good (60-70)
Agan Traders,73.78,93,1.5806451612903225,4.473118279569892,Very Good (70-80)
Aifer,67.79,51,1.2352941176470589,4.294117647058823,Good (60-70)
Air Curvey,62.19,72,0.5,4.416666666666667,Good (60-70)
Akk,70.39,182,2.483516483516484,4.302197802197802,Very Good (70-80)
Alaroo,60.55,57,0.2280701754385964,4.0701754385964914,Good (60-70)
Alaster Queen,61.16,88,0.7159090909090909,3.772727272727273,Good (60-70)
Alegria by PG Lite,69.66,273,1.3076923076923077,4.267399267399267,Good (60-70)
Alelly,62.8,54,0.3518518518518518,3.574074074074074,Good (60-70)
Alepo,73.97,81,2.765432098765432,4.37037037037037,Very Good (70-80)
Aleumdr,66.85,140,1.292857142857143,4.15,Good (60-70)
Alex Evenings,69.05,87,3.655172413793104,4.333333333333333,Good (60-70)
Alex Vando,64.85,100,0.74,4.2,Good (60-70)
Alex and Ani,68.45,235,0.2723404255319149,4.608510638297872,Good (60-70)
Alexander Del Rossa,71.57,550,1.3545454545454545,4.498181818181818,Very Good (70-80)
Alfred Dunner,65.0,125,1.16,4.088,Good (60-70)
Alicegana,64.68,104,0.6538461538461539,4.125,Good (60-70)
Alimens & Gentle,65.53,214,0.4392523364485981,4.168224299065421,Good (60-70)
Allegra K,69.33,643,1.5567651632970452,4.222395023328149,Good (60-70)
Allen Edmonds,66.62,71,0.8732394366197183,4.436619718309859,Good (60-70)
Allsense,66.45,124,0.8548387096774194,4.225806451612903,Good (60-70)
Aloodor,61.38,58,0.6724137931034483,4.206896551724138,Good (60-70)
Alpine Swiss,65.8,674,0.8486646884272997,4.179525222551929,Good (60-70)
Alternative,62.61,174,0.7471264367816092,3.844827586206896,Good (60-70)
Altheanray,66.32,55,1.4363636363636365,4.2727272727272725,Good (60-70)
AlvaQ,68.85,173,2.930635838150289,4.0,Good (60-70)
Alyce Ives Intimates,65.77,142,0.8309859154929577,3.950704225352113,Good (60-70)
Amazon Aware,48.65,75,0.8933333333333333,4.533333333333333,Poor (<50)
Amazon Basics,71.04,533,1.9887429643527204,4.575984990619137,Very Good (70-80)
Amazon Collection,68.32,876,1.976027397260274,4.304794520547945,Good (60-70)
Amazon Essentials,66.82,13503,2.123676220099237,4.340294749314967,Good (60-70)
AmeriMark,70.28,81,2.802469135802469,4.111111111111111,Very Good (70-80)
American Apparel,59.27,167,1.1497005988023952,4.083832335329341,Fair (50-60)
American Trends,67.93,231,0.8181818181818182,4.147186147186147,Good (60-70)
Amoji,67.7,239,0.4476987447698745,4.389121338912134,Good (60-70)
Amoretu,65.4,342,0.8011695906432749,3.985380116959064,Good (60-70)
Andrew Scott,62.69,103,0.8543689320388349,3.854368932038835,Good (60-70)
Angashion,68.74,295,2.8271186440677964,3.925423728813559,Good (60-70)
Angel Barcelo,67.33,65,0.8153846153846154,4.307692307692308,Good (60-70)
Angel Kiss,69.82,116,1.1810344827586208,4.456896551724138,Good (60-70)
Angelina,69.32,267,1.108614232209738,4.322097378277154,Good (60-70)
Angelus,73.26,51,2.4901960784313726,4.588235294117647,Very Good (70-80)
Angerella,65.72,134,0.9328358208955224,4.156716417910448,Good (60-70)
Animal Den,69.49,124,0.5161290322580645,4.395161290322581,Good (60-70)
Ann Arbor T-shirt Co.,71.14,294,0.4897959183673469,4.826530612244898,Very Good (70-80)
Anna-Kaci,68.46,146,1.356164383561644,4.232876712328767,Good (60-70)
Anne Klein,67.15,358,1.0865921787709498,4.516759776536313,Good (60-70)
Annenmy,71.4,102,1.3529411764705883,4.470588235294118,Very Good (70-80)
Anywear,60.33,53,0.6415094339622641,3.9056603773584895,Good (60-70)
Aokosor,63.91,110,0.7,4.218181818181818,Good (60-70)
Aoliks,66.08,66,1.696969696969697,4.287878787878788,Good (60-70)
Aoxjox,68.05,52,1.5,4.288461538461538,Good (60-70)
Apakowa,64.45,68,0.1176470588235294,4.382352941176471,Good (60-70)
Aphratti,69.73,148,1.8108108108108107,4.297297297297297,Good (60-70)
Aqua Eve,69.71,90,0.8555555555555555,4.344444444444444,Good (60-70)
Aravon,68.01,54,1.648148148148148,4.185185185185185,Good (60-70)
Archer Watch Straps,65.86,87,0.1379310344827586,4.402298850574713,Good (60-70)
Arctix,78.38,1079,5.743280815569972,4.221501390176089,Very Good (70-80)
Armitron,65.3,62,0.5161290322580645,4.467741935483871,Good (60-70)
Armitron Sport,65.41,248,0.6008064516129032,4.161290322580645,Good (60-70)
Aro Lora,62.79,64,1.015625,3.640625,Good (60-70)
Arolina,67.23,189,1.031746031746032,4.169312169312169,Good (60-70)
Arrow 1851,60.97,124,0.3951612903225806,4.403225806451613,Good (60-70)
Arshiner,70.21,266,1.2142857142857142,4.650375939849624,Very Good (70-80)
Artfish,64.76,108,1.0185185185185186,4.027777777777778,Good (60-70)
Arus,68.4,165,1.406060606060606,4.230303030303031,Good (60-70)
Asgard,70.39,123,1.6910569105691058,4.300813008130081,Very Good (70-80)
Ashford & Brooks,65.05,55,0.8363636363636363,4.163636363636364,Good (60-70)
Astylish,67.82,340,2.8794117647058823,3.9,Good (60-70)
Asvivid,70.05,356,2.438202247191011,4.120786516853933,Very Good (70-80)
At The Buzzer,64.22,66,0.5,4.166666666666667,Good (60-70)
Athlefit,64.81,86,2.2906976744186047,3.941860465116279,Good (60-70)
Augusta Sportswear,65.12,191,0.8115183246073299,4.141361256544503,Good (60-70)
Auliné Collection,66.17,149,1.080536912751678,3.906040268456376,Good (60-70)
Aura Apparel,65.04,489,0.130879345603272,4.139059304703476,Good (60-70)
AvaCostume,64.52,164,0.7621951219512195,3.969512195121952,Good (60-70)
Avia,64.26,272,0.5919117647058824,4.205882352941177,Good (60-70)
Avidlove,70.83,253,2.114624505928853,4.213438735177865,Very Good (70-80)
Avoogue,62.7,76,0.6052631578947368,4.157894736842105,Good (60-70)
Awesome21,68.38,68,1.9852941176470589,4.029411764705882,Good (60-70)
Ayurvastram,85.97,85,7.858823529411764,4.129411764705883,Excellent (80-100)
Azules,67.88,130,0.6153846153846154,4.230769230769231,Good (60-70)
B BANGKOK PANTS,67.72,144,0.8888888888888888,4.340277777777778,Good (60-70)
B. BRILLIANT,69.11,93,0.978494623655914,4.311827956989247,Good (60-70)
B2prity,71.3,97,1.690721649484536,4.268041237113402,Very Good (70-80)
BABEYOND,70.66,264,1.378787878787879,4.450757575757576,Very Good (70-80)
BAGAIL,73.68,263,2.114068441064638,4.612167300380228,Very Good (70-80)
BAISHENGGT,69.04,133,2.278195488721805,4.2781954887218046,Good (60-70)
BALEAF,69.56,1970,1.5619289340101523,4.309644670050761,Good (60-70)
BALENNZ,69.15,59,0.6271186440677966,4.627118644067797,Good (60-70)
BANGELY,66.04,85,0.8,4.094117647058823,Good (60-70)
BAOHULU,71.03,118,0.7627118644067796,4.466101694915254,Very Good (70-80)
BARCO,69.48,382,0.7041884816753927,4.494764397905759,Good (60-70)
BARERUN,62.27,65,0.2153846153846154,4.1692307692307695,Good (60-70)
BARTON WATCH BANDS,68.79,407,0.7469287469287469,4.316953316953317,Good (60-70)
BB Brotrade,72.68,89,1.9101123595505616,4.629213483146067,Very Good (70-80)
BB&KK,67.12,56,0.4642857142857143,4.125,Good (60-70)
BC Belts,62.28,128,0.359375,4.0703125,Good (60-70)
BEAGIMEG,67.93,67,2.5074626865671643,4.119402985074627,Good (60-70)
BEARPAW,68.84,831,0.6750902527075813,4.403128760529483,Good (60-70)
BEAUTELICATE,71.39,64,2.96875,4.046875,Very Good (70-80)
BELAROI,72.37,227,2.418502202643172,4.246696035242291,Very Good (70-80)
BELILENT,66.16,53,0.5660377358490566,4.188679245283019,Good (60-70)
BELONGSCI,74.16,145,3.627586206896552,4.020689655172414,Very Good (70-80)
BELTAWAY,68.18,61,0.7540983606557377,4.459016393442623,Good (60-70)
BEPEI,66.22,76,0.631578947368421,4.184210526315789,Good (60-70)
BERING,69.49,122,0.6229508196721312,4.754098360655738,Good (60-70)
BESTENA,63.32,187,0.6631016042780749,3.893048128342246,Good (60-70)
BGSD,81.43,62,5.67741935483871,4.338709677419355,Excellent (80-100)
BH B.I.L.Y USA,68.63,52,0.1923076923076923,4.211538461538462,Good (60-70)
BIG DART,66.48,72,1.3472222222222223,4.041666666666667,Good (60-70)
BISHUIGE,68.87,97,0.5360824742268041,4.463917525773196,Good (60-70)
BLACKMYTH,66.32,131,0.6870229007633588,4.221374045801527,Good (60-70)
BLACKOO,69.12,54,0.7037037037037037,4.592592592592593,Good (60-70)
BLENCOT,68.22,302,1.685430463576159,4.208609271523179,Good (60-70)
BLEVONH,68.05,57,2.263157894736842,4.175438596491228,Good (60-70)
BLUEENJOY,63.28,58,0.2241379310344827,4.137931034482759,Good (60-70)
BMJL,72.21,104,2.5384615384615383,4.076923076923077,Very Good (70-80)
BOGS,69.45,214,1.3317757009345794,4.401869158878505,Good (60-70)
BOMDEALS,71.4,59,2.0338983050847457,4.491525423728813,Very Good (70-80)
BONANGEL,70.59,78,0.1282051282051282,4.807692307692308,Very Good (70-80)
BORN,68.52,64,1.234375,4.28125,Good (60-70)
BORUO,70.03,109,0.3761467889908257,4.568807339449541,Very Good (70-80)
BOSTANTEN,70.52,143,1.2867132867132869,4.384615384615385,Very Good (70-80)
BOUTIQUELOVIN,67.24,62,0.8064516129032258,4.661290322580645,Good (60-70)
BRCbeads,69.27,70,0.6,4.414285714285715,Good (60-70)
BRONAX,67.08,103,0.7378640776699029,4.213592233009709,Good (60-70)
BRUCERIVER,72.99,86,2.2209302325581395,4.441860465116279,Very Good (70-80)
BTFBM,65.63,545,1.2477064220183487,4.205504587155963,Good (60-70)
BUBBLELIME,72.57,95,1.4736842105263157,4.3578947368421055,Very Good (70-80)
BUFF,66.23,55,0.4909090909090909,4.2727272727272725,Good (60-70)
BULLIANT,71.72,265,1.8113207547169807,4.535849056603774,Very Good (70-80)
BUREI,68.49,53,0.7924528301886793,4.169811320754717,Good (60-70)
BZees,69.11,109,0.8073394495412844,4.467889908256881,Good (60-70)
Babyonlinedress,64.81,93,2.161290322580645,3.6666666666666665,Good (60-70)
Back From Bali,69.01,62,1.1129032258064515,4.241935483870968,Good (60-70)
Baffin,71.23,74,2.3783783783783785,4.364864864864865,Very Good (70-80)
Baggallini,69.33,335,1.3970149253731343,4.477611940298507,Good (60-70)
Balanced Tech,72.16,67,3.194029850746269,3.985074626865672,Very Good (70-80)
Balega,68.47,331,0.2054380664652568,4.525679758308157,Good (60-70)
Bali,66.51,2558,1.2427677873338543,4.104378420641126,Good (60-70)
BambooMN,67.16,110,0.4545454545454545,4.327272727272727,Good (60-70)
Bandelettes,64.64,121,0.9173553719008264,3.9669421487603302,Good (60-70)
Bandolino,62.98,123,0.7398373983739838,4.016260162601626,Good (60-70)
Banjamath®,75.37,91,3.4725274725274726,4.285714285714286,Very Good (70-80)
Barbra Lingerie,71.23,74,1.2972972972972974,4.418918918918919,Very Good (70-80)
BareTraps,68.11,88,0.9090909090909092,4.352272727272728,Good (60-70)
Barry.Wang,69.55,61,0.1967213114754098,4.573770491803279,Good (60-70)
Barzel,69.24,71,1.2535211267605637,4.309859154929577,Good (60-70)
Bates,66.33,208,1.0625,4.302884615384615,Good (60-70)
Bbonlinedress,66.2,83,0.5180722891566265,4.108433734939759,Good (60-70)
BeadChica,67.27,71,1.8028169014084507,3.8309859154929575,Good (60-70)
Beaux Bijoux,67.83,53,0.4339622641509434,4.509433962264151,Good (60-70)
Bebonnie,69.85,68,1.0294117647058822,4.470588235294118,Good (60-70)
Beinia,68.7,54,0.6296296296296297,4.25925925925926,Good (60-70)
Bella Canvas,66.0,321,0.7383177570093458,4.149532710280374,Good (60-70)
Bella Marie,84.22,88,7.977272727272727,4.056818181818182,Excellent (80-100)
Bella Vita,64.29,62,0.8387096774193549,4.048387096774194,Good (60-70)
Bellady,70.11,55,1.0909090909090908,4.4363636363636365,Very Good (70-80)
Belle Donne,66.37,53,0.8867924528301887,4.09433962264151,Good (60-70)
Belle Poque,69.77,365,2.3863013698630136,4.084931506849316,Good (60-70)
Bellivera,66.61,214,3.514018691588785,4.327102803738318,Good (60-70)
Belts.com,67.77,414,0.4251207729468599,4.369565217391305,Good (60-70)
Beluring,67.67,51,1.5294117647058822,4.078431372549019,Good (60-70)
BenBoy,73.05,75,4.32,3.8666666666666663,Very Good (70-80)
Beninos,67.86,59,1.6779661016949152,4.0,Good (60-70)
Beopjesk,58.12,67,0.373134328358209,4.2388059701492535,Fair (50-60)
Berkshire,62.43,94,1.2765957446808511,3.627659574468085,Good (60-70)
Berne,70.38,102,0.9705882352941176,4.53921568627451,Very Good (70-80)
Bernie Mev,64.84,55,0.6181818181818182,4.072727272727272,Good (60-70)
BerryGo,70.59,94,1.904255319148936,4.170212765957447,Very Good (70-80)
Berydress,68.68,127,0.9763779527559056,4.291338582677166,Good (60-70)
Beslip,62.05,56,0.4464285714285714,4.035714285714286,Good (60-70)
Bestisun,69.31,101,1.7326732673267329,4.108910891089109,Good (60-70)
Betsey Johnson,68.12,129,0.8527131782945736,4.333333333333333,Good (60-70)
Beverly Rock,68.12,60,0.9166666666666666,4.333333333333333,Good (60-70)
Beyove,63.4,142,1.591549295774648,3.887323943661972,Good (60-70)
Billabong,60.97,63,0.6190476190476191,4.095238095238095,Good (60-70)
Bingerlily,63.66,82,1.0731707317073171,4.121951219512195,Good (60-70)
Bioworld,68.29,117,0.4786324786324786,4.35042735042735,Good (60-70)
Birch,65.12,95,0.4421052631578947,4.463157894736842,Good (60-70)
Birkenstock,70.09,909,1.2057205720572055,4.448844884488449,Very Good (70-80)
Biucly,64.28,153,1.6274509803921569,4.071895424836601,Good (60-70)
Black n Bianco,66.73,80,0.6,4.1875,Good (60-70)
Bling Jewelry,65.57,237,0.70042194092827,4.105485232067511,Good (60-70)
Blizzard Bay,67.56,64,0.34375,4.484375,Good (60-70)
Bloch,69.19,235,0.9957446808510638,4.319148936170213,Good (60-70)
Bloggerlove,65.64,76,1.6842105263157894,4.144736842105263,Good (60-70)
Blooming Jelly,70.37,314,1.859872611464968,4.191082802547771,Very Good (70-80)
Blowfish Malibu,69.52,480,0.9,4.445833333333334,Good (60-70)
Bluemaple,67.62,146,0.2671232876712329,4.36986301369863,Good (60-70)
Bluetime,68.67,300,1.143333333333333,4.37,Good (60-70)
Blulu,58.45,95,0.431578947368421,3.442105263157895,Fair (50-60)
Boao,70.34,206,1.6553398058252426,4.310679611650485,Very Good (70-80)
Boboking,67.93,82,0.951219512195122,4.219512195121951,Good (60-70)
Body Glove,72.85,72,2.75,4.388888888888889,Very Good (70-80)
BodyJ4You,62.18,119,0.6302521008403361,3.974789915966386,Good (60-70)
Bofell,65.08,65,1.3384615384615384,4.415384615384616,Good (60-70)
Bolter,66.37,61,0.2786885245901639,4.426229508196721,Good (60-70)
BomKinta,63.17,69,0.5217391304347826,4.2898550724637685,Good (60-70)
Bonnie Jean,72.59,58,0.5,4.620689655172414,Very Good (70-80)
Bonny Billy,71.08,50,1.08,4.58,Very Good (70-80)
Borgasets,68.8,79,0.810126582278481,4.291139240506329,Good (60-70)
Bostonian,63.94,124,0.3548387096774194,4.153225806451613,Good (60-70)
Boulder Creek,70.9,90,1.5,4.366666666666666,Very Good (70-80)
Bow Dream,77.73,71,2.535211267605634,4.535211267605634,Very Good (70-80)
Bozzolo,61.86,94,0.4361702127659574,3.74468085106383,Good (60-70)
Bramour by Glamorise,48.8,51,1.3333333333333333,4.2745098039215685,Poor (<50)
Briggs New York,72.9,170,2.764705882352941,4.264705882352941,Very Good (70-80)
Brilliant,70.83,93,1.5591397849462365,4.397849462365591,Very Good (70-80)
Brinley Co,66.24,226,1.1415929203539823,3.973451327433629,Good (60-70)
Brixton,71.06,54,0.5555555555555556,4.666666666666667,Very Good (70-80)
Brooks,69.65,1056,1.1496212121212122,4.400568181818182,Good (60-70)
Bruno Marc,64.68,495,0.5292929292929293,4.292929292929293,Good (60-70)
Bsubseach,67.51,93,1.7096774193548387,4.021505376344086,Good (60-70)
Buffway,69.91,310,0.7225806451612903,4.593548387096774,Good (60-70)
Bulotus,80.85,131,5.984732824427481,4.305343511450381,Excellent (80-100)
Burt's Bees Baby,65.9,115,0.3391304347826087,4.278260869565218,Good (60-70)
Burton,63.17,78,0.5897435897435898,4.102564102564102,Good (60-70)
Buttoned Down,56.8,184,0.3967391304347826,4.342391304347826,Fair (50-60)
Buxton,67.91,80,0.35,4.425,Good (60-70)
Buyless Fashion,68.15,62,0.2419354838709677,4.645161290322581,Good (60-70)
Bveyzi,70.01,113,0.6814159292035398,4.672566371681416,Very Good (70-80)
C.C,68.57,793,0.5548549810844893,4.4199243379571245,Good (60-70)
C9 Champion,62.61,314,2.6082802547770703,4.343949044585988,Good (60-70)
CADMUS,69.41,164,0.8597560975609756,4.445121951219512,Good (60-70)
CAMEL CROWN,72.49,177,2.6666666666666665,4.4124293785310735,Very Good (70-80)
CAMO COLL,68.14,72,1.5972222222222223,4.263888888888889,Good (60-70)
CAMPSNAIL,65.01,107,0.9813084112149532,3.9813084112149535,Good (60-70)
CARCOS,68.73,52,0.903846153846154,4.403846153846154,Good (60-70)
CASMONAL,67.53,89,0.3258426966292135,4.52808988764045,Good (60-70)
CASUAL MOMENTS,67.69,67,0.4328358208955223,4.492537313432836,Good (60-70)
CATHY,69.14,92,1.434782608695652,4.489130434782608,Good (60-70)
CAXMAN,64.07,71,0.5915492957746479,4.084507042253521,Good (60-70)
CDE,66.32,74,1.2567567567567568,4.513513513513513,Good (60-70)
CEASIKERY,70.69,153,2.0326797385620914,4.098039215686274,Very Good (70-80)
CHALA,70.72,138,0.644927536231884,4.63768115942029,Very Good (70-80)
CHAOREN,69.6,237,0.729957805907173,4.552742616033755,Good (60-70)
CHARMKING,65.33,241,0.2821576763485477,4.33609958506224,Good (60-70)
CHARTOU,70.88,81,2.580246913580247,3.950617283950617,Very Good (70-80)
CHICWISH,73.94,52,4.480769230769231,3.9615384615384617,Very Good (70-80)
CHOiES record your inspired fashion,61.02,54,0.2407407407407407,3.703703703703704,Good (60-70)
CHRLEISURE,68.25,125,1.08,4.128,Good (60-70)
CHUNG,66.51,52,0.5961538461538461,4.326923076923077,Good (60-70)
CIOR,66.46,227,0.7797356828193832,4.220264317180617,Good (60-70)
CLIFFS BY WHITE MOUNTAIN,68.61,72,0.6388888888888888,4.388888888888889,Good (60-70)
CLOVERY,61.33,107,0.7476635514018691,3.7850467289719623,Good (60-70)
CLPP'LI,66.66,140,0.45,4.257142857142857,Good (60-70)
CLUCI,65.52,153,0.6862745098039216,4.124183006535947,Good (60-70)
COCOPEAR,82.21,130,6.576923076923077,4.230769230769231,Excellent (80-100)
COCOSHIP,71.11,662,1.4697885196374625,4.2492447129909365,Very Good (70-80)
COEVALS CLUB,66.85,73,0.7123287671232876,4.232876712328767,Good (60-70)
COFACE,62.73,70,0.9857142857142858,3.842857142857143,Good (60-70)
COOFANDY,65.33,812,1.2216748768472907,4.254926108374384,Good (60-70)
COOLSTEELANDBEYOND,65.8,53,0.5660377358490566,4.056603773584905,Good (60-70)
COOPLUS,69.92,110,0.4,4.572727272727272,Good (60-70)
COSIDRAM,63.77,66,1.606060606060606,3.8333333333333335,Good (60-70)
CQR,68.03,202,0.5643564356435643,4.331683168316832,Good (60-70)
CRZ YOGA,69.52,513,1.206627680311891,4.32748538011696,Good (60-70)
CS CELERSPORT,68.4,107,0.7009345794392523,4.4485981308411215,Good (60-70)
CTM,65.14,88,0.6590909090909091,4.159090909090909,Good (60-70)
CUPSHE,69.08,545,1.036697247706422,4.196330275229358,Good (60-70)
CUSHIONAIRE,69.26,578,1.986159169550173,4.145328719723183,Good (60-70)
CYZ,65.66,586,0.7235494880546075,4.213310580204778,Good (60-70)
Cabales,62.77,195,0.441025641025641,3.8512820512820514,Good (60-70)
Cable Stitch,63.3,56,3.625,4.107142857142857,Good (60-70)
Cadidi Dinos,69.13,52,0.8269230769230769,4.346153846153846,Good (60-70)
California Costumes,66.92,324,1.058641975308642,4.1234567901234565,Good (60-70)
Callaway,64.74,63,0.3809523809523809,4.285714285714286,Good (60-70)
Calvin Klein,60.86,1605,0.8772585669781932,4.2903426791277255,Good (60-70)
Camii Mia,78.3,64,4.40625,4.328125,Very Good (70-80)
Cape Robbin,66.52,51,1.2156862745098038,4.098039215686274,Good (60-70)
Capezio,67.56,884,0.7409502262443439,4.291855203619909,Good (60-70)
Caracilia,65.99,73,1.5342465753424657,4.315068493150685,Good (60-70)
Carahere,70.58,117,0.1965811965811965,4.6923076923076925,Very Good (70-80)
Caramel Cantina,70.34,77,1.8051948051948048,4.155844155844156,Very Good (70-80)
Caramella Bubble,65.78,61,1.721311475409836,4.016393442622951,Good (60-70)
Carhartt,68.56,5110,0.7831702544031311,4.472994129158513,Good (60-70)
Carnival,59.84,80,0.9375,3.6,Fair (50-60)
Carole Martin,60.88,51,1.9019607843137252,3.627450980392157,Good (60-70)
Carter's,69.72,477,0.4989517819706499,4.584905660377358,Good (60-70)
Casio,67.98,435,1.0988505747126436,4.485057471264367,Good (60-70)
Casual Nights,65.12,354,1.0706214689265536,3.9293785310734464,Good (60-70)
Cat,66.25,116,0.3793103448275862,4.379310344827586,Good (60-70)
Cat Footwear,67.3,232,0.918103448275862,4.383620689655173,Good (60-70)
